facility_uuid,state,lga,facility,service_point_gap
bf530ed7-070a-4d4a-af4a-fbe82b132ab2,jigawa,gwaram,tsangarwa_primary_health_centre,50%–74% of applicable service points meet all minimum conditions
a06eeeef-64a8-423a-80f3-5ff80a985d48,jigawa,gwaram,zandam_tagabas_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
121b5fcd-a204-4e17-bb00-d5f8c9cb94c5,oyo,kajola,elero_primary_health_centre,0% of applicable service points meet all minimum conditions
da00ec86-69e0-47e1-8333-85a5aefc5b88,jigawa,gumel,duhuwa_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
70afdb78-f01c-415d-b45d-0a5a3682b7a0,jigawa,gwaram,gwaram_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
bf4f03ec-6c2b-4bbb-9e3c-9cb84df33bc9,adamawa,madagali,duhu_health_centre,50%–74% of applicable service points meet all minimum conditions
70f129ea-faad-4700-9a6e-1144756a5a3e,kano,gabasawa,yumbu_health_post,0% of applicable service points meet all minimum conditions
5b2023aa-b753-4095-8727-1265f831c7d8,jigawa,gwaram,galambi_primary_health_centre,0% of applicable service points meet all minimum conditions
a6e3e059-ac22-4e77-b768-27047e194180,anambra,orumba_north,okpeze_primary_health_centre,50%–74% of applicable service points meet all minimum conditions
05f1a17f-c090-4819-959a-13ac505c75dc,kano,bichi,yan_lami_health_post,0% of applicable service points meet all minimum conditions
3c00e799-f173-4173-a19c-152554d836aa,anambra,anambra_east,ikem_nando_primary_health_centre,0% of applicable service points meet all minimum conditions
af1a4d7a-08b6-4e04-a63c-e5d87d112a4d,jigawa,gwaram,basirka_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
c6161fb3-2a8e-45a1-8059-56df84b29ee4,akwa_ibom,uyo,aka_offot_health_centre,50%–74% of applicable service points meet all minimum conditions
73d4c963-aaff-47bd-8d28-0961e2dbcf41,anambra,orumba_north,umunebo_ufuma_primary_health_centre,0% of applicable service points meet all minimum conditions
e2dbe72a-ce42-4c70-aa08-3dce9fc237ba,kano,bichi,waire_health_post,1%–49% of applicable service points meet all minimum conditions
29073392-a3ca-4ca0-a735-96e269cd5512,jigawa,gwaram,rabadi_primary_health_centre,50%–74% of applicable service points meet all minimum conditions
961bbb8f-7152-4dac-a1f2-24145ed6f2f9,anambra,anambra_east,abube_agu_primary_health_centre,0% of applicable service points meet all minimum conditions
22140398-0dc6-498f-a0b2-a20bc2c6b34b,anambra,oyi,awkuzu_primary_health_centre,0% of applicable service points meet all minimum conditions
7b4c62a5-df9a-482a-b04f-dfff48163bed,anambra,oyi,igbu_primary_health_centre,0% of applicable service points meet all minimum conditions
faf96f28-173a-4701-98b4-a467ef933963,anambra,oyi,oyelu_primary_health_centre,0% of applicable service points meet all minimum conditions
79e2dd88-635b-4806-867c-bcdd5953c23c,kano,kiru,galadimawa_health_post,0% of applicable service points meet all minimum conditions
20fb1913-9cd7-433f-a754-f7af057db793,anambra,oyi,umunya_primary_health_centre,0% of applicable service points meet all minimum conditions
9f4c9234-7769-4a94-9bd2-7b9a7b86f393,anambra,anambra_east,otuocha_primary_health_centre,0% of applicable service points meet all minimum conditions
1e2bf7c2-cc2b-426b-a4d9-d4dad75165c8,anambra,anambra_east,otuocha_maternal_and_child_health,0% of applicable service points meet all minimum conditions
e625202a-c049-430b-85d7-dfb006d9ab37,oyo,ona_ara,badeku_primary_health_centre,50%–74% of applicable service points meet all minimum conditions
cf768698-9857-4f6d-b322-520164015b85,oyo,iwajowa,iwere_ile_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
03e533bd-b183-44c9-9259-3782d1749c79,anambra,ogbaru,okpoko_6_primary_health_centre,0% of applicable service points meet all minimum conditions
2d69e62e-c57f-4ab4-b376-5ebda214978b,kano,bichi,muntsira_health_post,0% of applicable service points meet all minimum conditions
8aebba0d-0340-41fb-b6fd-b65387048e99,anambra,oyi,umuzu_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
87b15d56-7dfd-401e-8444-79399ddbf22c,jigawa,hadejia,agumau_primary_health_centre,0% of applicable service points meet all minimum conditions
b9ff50f4-67ea-4be6-9327-da84e4bcd782,akwa_ibom,ndung_uko,eyonsek_health_centre,1%–49% of applicable service points meet all minimum conditions
57b3cdc5-5168-4a22-a728-f3c7844e360c,kano,bichi,damargu_basic_health_clinic,50%–74% of applicable service points meet all minimum conditions
83e4af1f-7a05-4d4f-bd2b-ffcd4c6435a6,kano,tofa,yanoko_health_post,1%–49% of applicable service points meet all minimum conditions
bc061236-3eb1-4713-953b-f1e36b41ade1,kano,kura,karfi_health_post,1%–49% of applicable service points meet all minimum conditions
03586134-b2d5-4897-9956-0322b10930f5,akwa_ibom,etinan,ikot_udobia_primary_health_centre,50%–74% of applicable service points meet all minimum conditions
e031c068-541f-4884-8fb0-a5da6670c8ea,jigawa,birnin_kudu,iggi_health_post,1%–49% of applicable service points meet all minimum conditions
898a14dc-33f0-41a8-80eb-f162191bff8b,adamawa,yola_north,ajiya_health_centre,50%–74% of applicable service points meet all minimum conditions
b4d72603-0cc4-41b9-a82b-3038ac2bbda4,jigawa,birnin_kudu,dumus_health_post,0% of applicable service points meet all minimum conditions
