facility_uuid,state,lga,facility,package,workbook_readiness,dashboard_readiness,power_fix,connectivity_fix
f160755b-802e-4110-9df4-92b0a7f6b59a,lagos,epe,odomola_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
b2feb542-5489-4083-8ca5-200ea0edba1a,anambra,idemili_north,oraukwu_primary_health_centre,Full solar system only,Not ready,Moderately ready,Solar top-up,FibreX
058a42b8-7fba-4f0b-afab-463ade04d57e,imo,onuimo,okwelle_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
fd56b323-182f-4e89-a451-6ae94969453c,imo,ehime_mbano,umuezeala_nsu_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
5802ec05-38b0-4de2-8b39-ba89e2bc435f,imo,ehime_mbano,ibeafor_nzerem_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
83250a23-1a4d-47bf-a32a-d3761952dbfe,anambra,onitsha_south,redemption_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
83250a23-1a4d-47bf-a32a-d3761952dbfe,anambra,onitsha_south,redemption_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
4fcbf97b-e6dc-4511-a9a3-fe117dd0dcdd,anambra,idemili_north,ogidi_maternal_and_child_health,Full solar system only,Not ready,Moderately ready,,Router
cc971fd0-ee0d-4fd9-8edc-b5912a1d1e50,imo,mbaitoli,umuomumu_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
08694c3d-e4cb-4b08-b3f1-be8ad6a38d8b,lagos,alimosho,isheri_oshun_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
1991d296-b99c-4dd2-8858-b093c0a52056,lagos,alimosho,ijegun_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
8722f12b-386b-4fdf-94f9-5b956cc89b04,kano,sumaila,gala_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
d4733a6c-3b4d-45eb-a4d1-be808bdfaa7d,niger,mashegu,kasaga_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
3c976a4b-b23b-4d6a-90f9-e3155eaf2145,lagos,agege,claudia_ibijoke_sanwo_olu_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
edb32f09-2c39-4959-9250-d3b3f6a96d13,imo,mbaitoli,ohohia_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
b8d0145b-e6d1-445f-bdc3-56a78ef87df7,imo,ngor_okpala,nneorie_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
aad0e985-71c6-4169-b276-34311bb8b92f,rivers,ogbaegbemandoni,obuburu_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
0e869f42-681a-41f3-a893-804993fdf654,jigawa,kazaure,gada_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
64cf49a8-c1bb-4e7d-9982-ae9c53acaf07,jigawa,kazaure,dandi_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
2ad0034d-1fa8-4e4e-b1ec-d616c8bf2ff6,jigawa,kazaure,katoge_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
2ad0034d-1fa8-4e4e-b1ec-d616c8bf2ff6,jigawa,kazaure,katoge_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
7850200b-bbbb-4261-a628-333e0391ff25,rivers,ogbaegbemandoni,erema_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
7850200b-bbbb-4261-a628-333e0391ff25,rivers,ogbaegbemandoni,erema_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
ff1d860b-11c8-46c2-ab5e-a0ec98a18d17,imo,ngor_okpala,amapu_amala_health_centre,Full solar system only,Not ready,Moderately ready,,Router
e588a4ad-9ffe-4fe0-9bbf-eac022a35f7a,imo,mbaitoli,umunneato_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
88370923-dcc0-497a-b285-e521af7e885f,akwa_ibom,eket,odio_health_centre,Full solar system only,Not ready,Moderately ready,,Router
ec78bb2c-6275-49dd-a7a6-cc9dbbc32f93,akwa_ibom,mkpat_enin,operational_base_mkpat_enin_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
ec78bb2c-6275-49dd-a7a6-cc9dbbc32f93,akwa_ibom,mkpat_enin,operational_base_mkpat_enin_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
11ea2340-20cb-4bdc-aed7-d448fab0b687,anambra,awka_north,orebe_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
90b8f920-0dee-4e81-bd14-2814382353db,kano,kunchi,gwadama_basic_health_clinic,Full solar system only,Not ready,Moderately ready,Full solar system,FibreX
bd96654d-b3eb-4883-a06f-af8d07d1fc2a,kano,kunchi,ridawa_health_post,Full solar system only,Not ready,Moderately ready,Full solar system,FibreX
3147057e-3949-46ab-b10d-48734bedbb3c,lagos,agege,papa_ashafa_health_post,Full solar system only,Not ready,Moderately ready,,Router
30f4d008-da30-40b0-8de8-922b98145132,kano,garko,gurjiya_primary_health_centre_garko,Full solar system only,Not ready,Moderately ready,Full solar system,FibreX
ece2820f-2b29-47e9-87c4-89042b953f91,rivers,okrika,ogoloma_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
ece2820f-2b29-47e9-87c4-89042b953f91,rivers,okrika,ogoloma_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
c26102bc-b6b3-403a-aee8-dc2a87965561,rivers,port_harcourt,mgbundukwu_primary_health_centre,Router only,Ready,Moderately ready,Solar top-up,Router
c26102bc-b6b3-403a-aee8-dc2a87965561,rivers,port_harcourt,mgbundukwu_primary_health_centre,Full solar system only,Not ready,Moderately ready,Solar top-up,Router
94b4c5cc-b5c7-4f49-9e1b-1834ca3111dc,akwa_ibom,mkpat_enin,ikot_akata_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
94b4c5cc-b5c7-4f49-9e1b-1834ca3111dc,akwa_ibom,mkpat_enin,ikot_akata_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
46aa1f35-49a2-4fe0-beda-29925f65767a,anambra,nnewi_north,ndiakwu_otolo_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
95b7c5f8-2101-4699-960d-96c87288e623,oyo,oyo_east,alawusa_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
95b7c5f8-2101-4699-960d-96c87288e623,oyo,oyo_east,alawusa_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
97da2567-ad5f-4d0b-b37a-4b8fdc584029,akwa_ibom,mkpat_enin,ukam_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
97da2567-ad5f-4d0b-b37a-4b8fdc584029,akwa_ibom,mkpat_enin,ukam_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
aa46981f-c988-4f9e-bd5e-cdb23350fc0c,imo,ikeduru,iho_basic_health_centre,Full solar system only,Not ready,Moderately ready,,Router
ca94bb74-918c-4281-9e91-fc20019dba11,anambra,awka_north,awba_ofemili_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
eb9c0d27-cea3-4bc1-b312-228685de4c24,kano,garko,garin_ali_basic_health_clinic,Full solar system only,Not ready,Ready,Full solar system,
7c8fdc79-e8c0-4b32-b0f4-6c4e714f1f54,anambra,nnewi_north,emecourt_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
1bce7dec-d5ee-4640-8d88-9ff773748a7f,lagos,agege,odunmbaku_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
1a2e62d0-206c-4df5-8459-ea30bc5d3ef6,imo,ngor_okpala,eziama_primary_health_centre_no,Router only,Ready,Moderately ready,Full solar system,Router
1a2e62d0-206c-4df5-8459-ea30bc5d3ef6,imo,ngor_okpala,eziama_primary_health_centre_no,Full solar system only,Not ready,Moderately ready,Full solar system,Router
d4017d88-1bca-4472-9f09-99cf8b767d4f,anambra,nnewi_south,ekwulummili_primary_health_centre,Full solar system only,Not ready,Ready,Full solar system,
9977969a-fb2f-423e-aac8-b35c399beb27,akwa_ibom,mkpat_enin,ikot_akpaden_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
9977969a-fb2f-423e-aac8-b35c399beb27,akwa_ibom,mkpat_enin,ikot_akpaden_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
ff3ec7fa-099d-43ce-859d-f5c58fc2a48c,kano,rano,taitai_health_clinic,Full solar system only,Not ready,Moderately ready,Full solar system,Router
53ebf5de-da35-4085-8da6-cb04048051cd,kano,rano,saji_health_post,Full solar system only,Not ready,Moderately ready,Full solar system,Router
afd26494-ad60-450c-ac04-0d3712251529,anambra,awka_north,ugbenu_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
148d5e6d-6132-421d-a0c7-e557223259c5,imo,ikeduru,eziama_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
148d5e6d-6132-421d-a0c7-e557223259c5,imo,ikeduru,eziama_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
a3dd71ca-ec9e-4197-974d-dc944ff2e490,niger,mashegu,mashegu_primary_health_centre,Router only,Ready,Moderately ready,Solar top-up,Router
a3dd71ca-ec9e-4197-974d-dc944ff2e490,niger,mashegu,mashegu_primary_health_centre,Full solar system only,Not ready,Moderately ready,Solar top-up,Router
38b8511a-c82c-424b-a221-676b788fe140,lagos,badagry,seme_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
38b8511a-c82c-424b-a221-676b788fe140,lagos,badagry,seme_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
a1a3f629-3048-4a9a-bb12-df8420bbee18,akwa_ibom,esit_eket,ebe_ekpi_health_post,Router only,Ready,Moderately ready,Full solar system,Router
a1a3f629-3048-4a9a-bb12-df8420bbee18,akwa_ibom,esit_eket,ebe_ekpi_health_post,Full solar system only,Not ready,Moderately ready,Full solar system,Router
117ff101-7d84-4b49-997f-c8735a66129c,imo,mbaitoli,umuduru_obinnoha_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
e7c7d0f0-90ff-44dd-aec1-b730b407c6af,kano,dawakin_tofa,marke_health_post,Full solar system only,Not ready,Moderately ready,Full solar system,FibreX
7ed8209f-8133-4bfe-bfac-b8b21ad17d3c,akwa_ibom,ikono,ikot_idaha_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
1bfe3a5d-356b-44f8-a911-f7bc6b3ae06d,kano,garko,kafir_chiri_basic_health_clinic,Full solar system only,Not ready,Ready,,
3de214b9-cd85-401e-b7f0-92541d75faaa,imo,mbaitoli,achimberi_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
3c8e4a66-9dbb-4d23-b069-1556fb0978e8,imo,ngor_okpala,umukabia_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
3c8e4a66-9dbb-4d23-b069-1556fb0978e8,imo,ngor_okpala,umukabia_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
7cf3404e-0f2c-4507-b50c-1b7750b0e1cb,kano,garko,lamire_health_post,Full solar system only,Not ready,Moderately ready,Full solar system,Router
45e1a58d-48c8-4f4a-aa36-1fe005643016,kano,tudun_wada,fuskar_wambai_health_post,Router only,Ready,Moderately ready,Full solar system,Router
0c2cf703-cb59-41de-83f4-9b3c1f846f63,anambra,nnewi_south,umuonuko_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
b0371b3b-03a1-40a1-9d97-1ece8ae0795b,kano,karaye,yammedi_model_primary_health_centre,Full solar system only,Not ready,Ready,,
64be1141-6cc4-404e-9f43-4b88a7aa3463,akwa_ibom,ikono,ukpom_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
64be1141-6cc4-404e-9f43-4b88a7aa3463,akwa_ibom,ikono,ukpom_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
0652a6cb-2b18-429f-b0d8-3d1935bf6045,imo,ikeduru,amaeke_inyishi_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
0652a6cb-2b18-429f-b0d8-3d1935bf6045,imo,ikeduru,amaeke_inyishi_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
0ea91dd3-40ab-4f09-8f27-9b56b8ada4e3,imo,ikeduru,atta_ii_health_centre,Full solar system only,Not ready,Moderately ready,,Router
10c0beaa-0524-4100-b097-fc375e5ab3de,akwa_ibom,abak,midim_health_centre,Full solar system only,Not ready,Moderately ready,,Router
8521defb-c018-41af-8ae9-80df0fe34424,akwa_ibom,uyo,ikot_ayan_ikono_health_centre,Full solar system only,Not ready,Moderately ready,,Router
c6065043-1225-41b2-84fa-c71ac1998178,akwa_ibom,ini,mbiabong_ikot_udofia_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
d1d8f2d2-c5de-4df8-859d-77ed48106180,niger,agaie,kutiriko_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
3c05c9a9-3d47-4eba-8a51-10491929a03f,akwa_ibom,ikono,etip_ediene_health_centre,Full solar system only,Not ready,Moderately ready,,Router
df4c9fb3-6a38-4965-b70c-d4c81c471db1,kano,tudun_wada,tudun_wada_tsohon_gari_health_clinic,Full solar system only,Not ready,Moderately ready,,FibreX
e58e012a-f05e-4133-8180-ceb866b85c4a,akwa_ibom,onna,ikwe_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
e58e012a-f05e-4133-8180-ceb866b85c4a,akwa_ibom,onna,ikwe_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
690604a1-d4a1-4a65-8da9-a65889df9ff2,imo,ikeduru,atta_i_health_centre,Full solar system only,Not ready,Moderately ready,,Router
02dfb603-26cf-49ab-b652-34b6ed192e84,kano,kunchi,kasuwar_kuka_mphc_primary_health_centre,Full solar system only,Not ready,Moderately ready,,FibreX
cb8fd6cd-ce5f-4370-a522-c77a9058460b,imo,oru_west,uzinumu_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
3e0ad389-bcfa-4a18-83d1-46f8035ce711,kano,kunchi,gwarmai_primary_health_centre_kunchi,Full solar system only,Not ready,Moderately ready,,FibreX
a84b800e-c64f-4e33-82c8-032a80edafea,nasarawa,lafia,fadama_south_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
84388172-5e60-487f-a86a-7b9cd59ff87e,rivers,ikwerre,igwuruta_primary_health_centre_model,FibreX only,Ready,Moderately ready,,Router
