Facility UUID,State,LGA,Facility name,Gap area,Gap condition,Intervention,When action is needed
ca873ce5-bcf9-4003-b985-4c9d592da328,rivers,okrika,okochiri_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
18faded2-07bb-4640-a05e-10252359fe1b,nasarawa,awe,ribi_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
0dd0fe66-52f6-4fdc-bbe9-d425eff8bd8b,anambra,awka_north,okukwa_amansea_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
e2cdaec1-d68d-4187-80dd-b0974d4e8044,niger,gurara,diko_comprehensive_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
66d22377-672f-4390-a4af-0eac7d45e900,rivers,emohua,ogbakiri_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
18b6a341-8c13-4b60-a420-1b503f47fdfb,kano,tsanyawa,zarogi_health_post,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
29875ec0-e380-48cb-acf3-199d5c85a511,anambra,onitsha_north,holy_spirit_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
f76a2880-4044-4746-8360-07b9e259fc36,adamawa,yola_north,atiku_abubakar_health_clinic,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
330702f8-4859-4810-982a-0249441ab89c,oyo,ori_ire,tewure_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
50c06a44-7b43-4e7b-8dc1-ef0e22812177,kano,tarauni,tarauni_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
f21490d4-10b1-48c7-b935-b8407fcda42f,nasarawa,awe,azara_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
94dd6cc7-7c01-424b-9be5-22ebce2098b6,oyo,irepo,agede_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
5a4089a2-5ac0-4663-b8b5-311a00c67740,oyo,afijo,okediji_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
dc2f5397-ee86-422e-9f08-4489bf750d92,oyo,ibadan_north_east,ajobo_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
c15fce87-50f8-4e2e-ab80-49f6cbf9849a,nasarawa,nasarawa,ara_ii_primary_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
8091096c-ce3b-48b7-881a-01f445257102,oyo,itesiwaju,okaka_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
dbd20632-edec-4479-91e5-1bd0cdf3b48f,rivers,emohua,ogbakiri_2_primary_health_centre_mphc,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
74e5ea3f-0c93-4d56-b5d6-dda1a72eaed0,kano,kano_minicipal_council,gandu_model_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
8981eea2-0303-4b8d-9553-c1ca1260ca1b,oyo,ori_ire,iluju_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
7508088a-2cf1-41ac-9ad8-10f37c4bbe4d,adamawa,yola_north,luggere_ohc_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
3e8d5877-c5dc-40b8-b578-d836f5a4a93e,kano,fagge,kwachiri_model_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
62a78c65-9b84-450a-b44d-5dc6cefafe17,adamawa,mubi_north,muchalla_fmhc_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
