Facility UUID,State,LGA,Facility name,Facility group,Functionality,Zone,Facility-connectivity gap value,Intervention,When action is needed,Cost 1 (NGN),Total gaps,Critical gaps,Total facility intervention cost (NGN)
168d97e6-6941-4131-8081-2bae175f5e97,Rivers,Ikwerre,Ubima Primary Health Centre Model,BHCPF,Functional L2,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"2,965,333"
a3e3549c-360c-4cca-ae2c-e795f10ddd60,Rivers,Ikwerre,Ozuaha Primary Health Centre Model,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),9,1,"2,840,333"
cbe0fc74-182f-41f9-89f3-7a44239818c3,Lagos,Badagry,Sakpo Primary Health Centre,BHCPF,Partially Functional,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),15,2,"7,309,378"
ece2820f-2b29-47e9-87c4-89042b953f91,Rivers,Okrika,Ogoloma Primary Health Centre,BHCPF,Functional L2,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),13,1,"3,184,378"
c26102bc-b6b3-403a-aee8-dc2a87965561,Rivers,Port Harcourt,Mgbundukwu Primary Health Centre,BHCPF,Functional L2,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),11,1,"2,502,712"
94b4c5cc-b5c7-4f49-9e1b-1834ca3111dc,Akwa Ibom,Mkpat Enin,Ikot Akata Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"7,637,000"
c9864d47-277d-4eff-b0d2-05993a74b803,Akwa Ibom,Oruk Anam,Nung Okubo 2 Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"7,516,378"
8862d1e4-fca5-4552-931e-dc573fd83aa7,Akwa Ibom,Ikono,Mbiabong Ukam Health Centre,BHCPF,Partially Functional,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),13,2,"7,204,378"
6764a73f-f4a9-4f0d-a5df-47cbf17b28b8,Akwa Ibom,Ibesikpoasutan,Afaha Udoeyop Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),14,1,"7,934,378"
377e6a00-24a7-40a8-ab96-24b3d38976b5,Akwa Ibom,Ini,Usuk Ibakesi Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),14,1,"7,964,378"
48324f6b-cf27-4dab-9232-a44dbe5e99ef,Akwa Ibom,Esit Eket,Ebighi Okpono Health Post,BHCPF,Partially Functional,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),15,2,"7,434,378"
84562f48-13d4-4abf-b35f-493805bc2b8e,Kano,Kabo,Dugabau Health Post,BHCPF,Functional L1,North West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),15,1,"7,245,333"
6e75e6db-a737-4ade-b9cc-5ed59507f07f,Akwa Ibom,Ini,Odoro Ikpe Operational Base Primary Health Centre,Non-BHCPF,Partially Functional,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,2,"7,180,000"
