facility_uuid,state,lga,facility,gap_area,action,when_action_is_needed,cost_ngn
8667e7ef-9081-41ba-bf3d-8d494940ac02,imo,ngor_okpala,obiangwu_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
bccf3456-9898-47ca-af93-2d005b4636b0,akwa_ibom,oruk_anam,ikot_otok_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
1564e4f9-bf3d-4cda-9069-769cc5bf3c1f,rivers,opobonkoro,epellema_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
2804ef1e-9f2d-4759-a7b8-95a1e3f78972,akwa_ibom,etim_ekpo,atan_eka_uruk_eshiet_health_centre,Wiring,Install 4 socket points,Minor action to complete during EMR deployment,12000
c0911e88-cf33-4c20-a673-9136129d3226,kano,rano,madachi_health_post,Wiring,Install 5 socket points,Minor action to complete during EMR deployment,15000
63cc4026-6791-4cf5-9251-a67b1e50fe79,akwa_ibom,oruk_anam,ikot_akpan_essien_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
018adde1-9eb5-4429-b25d-d8d8eb936234,imo,nwangele,umuanya_maternal_and_child_health,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
32892f5d-50dc-4c21-a8da-8d7468fd2b84,anambra,onitsha_south,queen_of_peace_primary_health_centre,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
489d2183-df06-4702-8f71-b0e8c13ca17b,akwa_ibom,ikono,ibiaku_ntok_okpo_primary_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
35792ec9-2c93-4433-a202-0217a0a3f56d,oyo,atisbo,baasi_primary_health_centre,Wiring,Install 3 socket points,Minor action to complete during EMR deployment,9000
34465bab-5717-482d-9b82-dca99406c163,lagos,kosofe,mende_primary_health_centre,Physical service-point,Procure 1 desk | Procure 1 patient chair | Procure 1 staff chair,Minor action to complete during EMR deployment,85000
bbfdfdfb-f506-4dd0-a0c3-c0dd53629f5c,akwa_ibom,etim_ekpo,ikot_ebo_health_centre,Wiring,Install 5 socket points,Minor action to complete during EMR deployment,15000
b57b83ce-2087-4aca-a404-73009ab2d99e,kano,makoda,durmawa_health_post_makoda,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
5af621d4-31ed-4e89-9642-48f10cd8bfd3,imo,nwangele,umuozu_health_centre,Physical service-point,Procure 1 patient chair | Procure 1 electric fan,Minor action to complete during EMR deployment,85000
c6eaad3c-a3a2-4cdc-a7ce-aa67706e595f,imo,ikeduru,avuvu_health_centre,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
74a52e67-e8f6-44ec-8681-40c63c039eb8,akwa_ibom,onna,edem_idim_ishiet_health_post,Physical service-point,Procure 1 patient chair | Procure 1 staff chair,Minor action to complete during EMR deployment,50000
ef6763de-e0a3-446b-b1c1-34d9b348e229,lagos,epe,papa_primary_health_centre,Physical service-point,Procure 2 electric fans,Minor action to complete during EMR deployment,120000
c3f2fe6d-108d-4a74-b882-ccca67aca61a,lagos,epe,eredo_primary_health_centre,Physical service-point,Procure 1 electric fan | Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,60000
b2feb542-5489-4083-8ca5-200ea0edba1a,anambra,idemili_north,oraukwu_primary_health_centre,Wiring,Install 3 socket points,Minor action to complete during EMR deployment,9000
058a42b8-7fba-4f0b-afab-463ade04d57e,imo,onuimo,okwelle_primary_health_centre,Physical service-point,Procure 1 desk,Minor action to complete during EMR deployment,35000
4fcbf97b-e6dc-4511-a9a3-fe117dd0dcdd,anambra,idemili_north,ogidi_maternal_and_child_health,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
08694c3d-e4cb-4b08-b3f1-be8ad6a38d8b,lagos,alimosho,isheri_oshun_primary_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
1991d296-b99c-4dd2-8858-b093c0a52056,lagos,alimosho,ijegun_primary_health_centre,Physical service-point,Procure 1 patient chair | Procure 1 electric fan,Minor action to complete during EMR deployment,85000
d4733a6c-3b4d-45eb-a4d1-be808bdfaa7d,niger,mashegu,kasaga_primary_health_centre,Wiring,Install 5 socket points,Minor action to complete during EMR deployment,15000
3c976a4b-b23b-4d6a-90f9-e3155eaf2145,lagos,agege,claudia_ibijoke_sanwo_olu_primary_health_centre,Physical service-point,Procure 2 electric fans | Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,120000
aad0e985-71c6-4169-b276-34311bb8b92f,rivers,ogbaegbemandoni,obuburu_primary_health_centre,Physical service-point,Procure 1 electric fan | Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,60000
7850200b-bbbb-4261-a628-333e0391ff25,rivers,ogbaegbemandoni,erema_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
30f4d008-da30-40b0-8de8-922b98145132,kano,garko,gurjiya_primary_health_centre_garko,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
92876f79-ee10-4062-bdb8-5df56e08eaeb,rivers,opobonkoro,opobo_primary_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
00019879-3b17-4d3b-884e-b22ec295b5ab,lagos,kosofe,oworo_primary_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
aa46981f-c988-4f9e-bd5e-cdb23350fc0c,imo,ikeduru,iho_basic_health_centre,Wiring,Install 3 socket points,Minor action to complete during EMR deployment,9000
eb9c0d27-cea3-4bc1-b312-228685de4c24,kano,garko,garin_ali_basic_health_clinic,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
148d5e6d-6132-421d-a0c7-e557223259c5,imo,ikeduru,eziama_health_centre,Physical service-point,Procure 1 patient chair | Procure 1 electric fan,Minor action to complete during EMR deployment,85000
e7c7d0f0-90ff-44dd-aec1-b730b407c6af,kano,dawakin_tofa,marke_health_post,Wiring,Install 4 socket points,Minor action to complete during EMR deployment,12000
45e1a58d-48c8-4f4a-aa36-1fe005643016,kano,tudun_wada,fuskar_wambai_health_post,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
